"","port_origin","voyage_id","ship_name","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","country","lat","lng"
"2121","Bahia","50439","NS da Piedade e S Antônio","Costa da Mina","Bahia","1712",NA,"Silva, Francisco da",NA,NA,NA
"2122","Bahia","50440","S Caetano e Almas","Princes Island","Bahia","1713",NA,"Silva, João da",NA,NA,NA
"2123","Bahia","50442","Santíssimo Sacramento NS da Luz e S Antônio","Costa da Mina","Bahia","1712",NA,"Lopes, Manoel Ferreira",NA,NA,NA
"2124","Bahia","50443","NS de Nazaré e S Antônio das Barreiras","Costa da Mina","Bahia","1713",NA,"Souza, Francisco de",NA,NA,NA
"2125","Bahia","50444","NS da Guia e S Pedro da Guarda","Costa da Mina","Bahia","1713",NA,"Costa, Antônio da",NA,NA,NA
"2126","Bahia","50445","S Cristo e NS da Ajuda","Cape Lahou","Bahia","1712",NA,"Soares, José",NA,NA,NA
"2127","Bahia","47043","Diligente","Malembo","Bahia","1821",NA,NA,NA,NA,NA
"2128","Bahia","50448","NS do Rosario S Antônio e Almas","Costa da Mina","Bahia","1713",NA,"Lima, João de Souza",NA,NA,NA
"2129","Bahia","47046","Mariana","Luanda","Bahia","1822",NA,"Lopes, João Crisóstomo Rodrigues",NA,NA,NA
"2130","Bahia","50452","NS do Rosario S Antônio e Almas","Cape Lahou","Bahia","1713",NA,"Rodrigues, José Inácio",NA,NA,NA
"2131","Bahia","50456","NS da Conceição e Bom Jesus das Portas","Sao Tome","Bahia","1713",NA,"Rêgo, Francisco do",NA,NA,NA
"2132","Bahia","47053","Brinquedo dos Meninos","Malembo","Bahia","1822",NA,"Carneiro, Francisco Pires",NA,NA,NA
"2133","Bahia","50460","NS da Conceição S Antônio e Almas","Costa da Mina","Bahia","1713",NA,"Ferreira, João Álvares",NA,NA,NA
"2134","Bahia","50464","NS do Amparo S Antônio e Almas","Costa da Mina","Bahia","1713",NA,"Lopes, Domingos",NA,NA,NA
"2135","Bahia","50466","NS da Piedade","Costa da Mina","Bahia","1713",NA,"Pereira, Constantino de Azevedo",NA,NA,NA
"2136","Bahia","50467","NS do Monte e Nazaré","Costa da Mina","Bahia","1713",NA,"Antunes, Francisco",NA,NA,NA
"2137","Bahia","50474","NS da Ajuda e S Estevao","Elmina","Bahia","1714",NA,"Lima, Manoel da Costa",NA,NA,NA
"2138","Bahia","47071","S Antônio Milagroso","Sao Tome or Princes Island","Bahia","1814",NA,"Viana, Isidoro Antônio",NA,NA,NA
"2139","Bahia","50476","NS do Rosario e Almas","Costa da Mina","Bahia","1713",NA,"Almeida, Manoel Fernandes de",NA,NA,NA
"2140","Bahia","50477","NS da Ajuda S Antônio e Almas","Cape Lahou","Bahia","1713",NA,"Noronha, Vicente de Souza de",NA,NA,NA
"2141","Bahia","47074","Marquês de Pombal","Costa da Mina","Bahia","1814",NA,"Leonardo, Severo",NA,NA,NA
"2142","Bahia","47075","Vitória","Benguela","Bahia","1816",NA,"Magalhães, Custódio da Costa",NA,NA,NA
"2143","Bahia","47077","Tamerlão","Costa da Mina","Bahia","1815",NA,"Loiro, Luís de Murça",NA,NA,NA
"2144","Bahia","40247","NS Madre de Deus","Costa da Mina","Bahia","1721",NA,"Coelho, João Batista",NA,NA,NA
"2145","Bahia","47081","Flor da Bahia","Mozambique","Bahia","1816",NA,"Gomes, José Martins",NA,NA,NA
"2146","Bahia","47082","Diana do Monte","Costa da Mina","Bahia","1816",NA,"Paula, Vicente de",NA,NA,NA
"2147","Bahia","50485","NS do Ó e S Antônio","Costa da Mina","Bahia","1714",NA,"Martins, Antônio",NA,NA,NA
"2148","Bahia","50486","NS do Monte do Carmo e S José","Africa.","Americas","1715",NA,"Reis, Custódio dos",NA,NA,NA
"2149","Bahia","50488","NS da Guia e S Pedro da Guarda","Costa da Mina","Bahia","1714",NA,"Belo, Manoel Moreira",NA,NA,NA
"2150","Bahia","50491","NS da Conceição S Antônio e Almas","Costa da Mina","Bahia","1714",NA,"Ferreira, João Álvares",NA,NA,NA
"2151","Bahia","50492","NS do Pilar e S Antônio e Almas","Costa da Mina","Bahia","1714",NA,"Oliveira, Manoel Gonçalves de<br/> Baladão, Manoel Coelho",NA,NA,NA
"2152","Bahia","50493","NS da Piedade S Antonio e Almas",NA,NA,"1715",NA,"Escolar, Manoel",NA,NA,NA
"2153","Bahia","52078","NS Mãe dos Homens Vitória e Almas","Costa da Mina","Bahia","1790","320","Rocha, Caetano José da",NA,NA,NA
"2154","Bahia","50496","Corpo Santo e S Boaventura","Whydah","Bahia","1714",NA,"Freitas, Veríssimo de",NA,NA,NA
"2155","Bahia","50498","NS do Monte e Nazaré","Costa da Mina","Bahia","1714",NA,"Costa, Jacinto da",NA,NA,NA
"2156","Bahia","50499","NS da Purificacão e S Antônio da Barra","Costa da Mina","Bahia","1714",NA,"Barbosa, Domingos",NA,NA,NA
"2157","Bahia","50500","NS da Piedade e S Antônio","Costa da Mina","Bahia","1715",NA,"Silva, José de Brito e",NA,NA,NA
"2158","Bahia","50501","S Caetano e Almas","Princes Island","Bahia","1714",NA,"Santos, Manoel Caminha dos",NA,NA,NA
"2159","Bahia","50503","NS das Angústias e S José",NA,NA,"1715",NA,"Mendes, Francisco Pereira",NA,NA,NA
